id,latitude,longitude,title,data,time,PM25,PM10,VOC,CO2,TEMP,HUM,BATT,FLAG,TVOC
7,14.6499066,121.0682145,UPCARE-WEARABLE (F7:D6:6E:D0:C5:C9),"[1, 0, 1, 0, 255, 255, 0, 0, 56, 80, 255, 255, 0, 0, 0, 0, 100, 1, 0, 32]",2025-01-09T14:38:00.287576,1,1,65535,0,4294922.296,0,100,1,8192
8,14.6499043,121.0682053,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[4, 0, 4, 0, 34, 0, 208, 3, 136, 95, 0, 0, 134, 4, 1, 0, 100, 0, 205, 20]",2025-01-09T14:54:00.804160,4,4,34,976,24.456,66.694,100,0,5325
9,14.6499043,121.0682053,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[7, 0, 9, 0, 80, 0, 255, 3, 137, 96, 0, 0, 83, 5, 1, 0, 100, 0, 1, 12]",2025-01-09T14:56:11.833492,7,9,80,1023,24.713,66.899,100,0,3073
10,14.6499043,121.0682053,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[10, 0, 10, 0, 93, 0, 236, 3, 164, 97, 0, 0, 206, 4, 1, 0, 100, 0, 157, 9]",2025-01-09T14:58:22.732099,10,10,93,1004,24.996,66.766,100,0,2461
11,14.6499043,121.0682053,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[8, 0, 8, 0, 135, 0, 238, 3, 180, 98, 0, 0, 122, 3, 1, 0, 100, 0, 115, 8]",2025-01-09T15:00:33.655280,8,8,135,1006,25.268,66.426,100,0,2163
12,14.6499043,121.0682053,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[8, 0, 9, 0, 93, 0, 245, 3, 146, 99, 0, 0, 182, 1, 1, 0, 100, 0, 180, 7]",2025-01-09T15:02:44.519799,8,9,93,1013,25.49,65.974,100,0,1972
13,14.6499073,121.0682056,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[8, 0, 8, 0, 95, 0, 224, 3, 119, 100, 0, 0, 180, 255, 0, 0, 100, 0, 240, 6]",2025-01-09T15:04:55.419006,8,8,95,992,25.719,65.46,100,0,1776
14,14.6499036,121.0681983,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[10, 0, 11, 0, 98, 0, 218, 3, 56, 101, 0, 0, 203, 253, 0, 0, 100, 0, 219, 5]",2025-01-09T15:07:06.359556,10,11,98,986,25.912,64.971,100,0,1499
15,14.649894,121.068209,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[7, 0, 7, 0, 104, 0, 209, 3, 227, 101, 0, 0, 238, 251, 0, 0, 100, 0, 22, 5]",2025-01-09T15:09:17.260939,7,7,104,977,26.083,64.494,100,0,1302
16,14.649894,121.068209,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[11, 0, 14, 0, 107, 0, 204, 3, 115, 102, 0, 0, 74, 250, 0, 0, 100, 0, 243, 4]",2025-01-09T15:11:28.260204,11,14,107,972,26.227,64.074,100,0,1267
17,14.6499047,121.0682067,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[10, 0, 10, 0, 99, 0, 205, 3, 219, 103, 0, 0, 106, 246, 0, 0, 100, 0, 60, 4]",2025-01-09T15:18:00.962999,10,10,99,973,26.587,63.082,100,0,1084
18,14.6499018,121.0682059,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[4, 0, 5, 0, 98, 0, 195, 3, 1, 104, 0, 0, 1, 246, 0, 0, 100, 0, 223, 3]",2025-01-09T15:20:11.868944,4,5,98,963,26.625,62.977,100,0,991
19,14.6499031,121.0682084,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[6, 0, 7, 0, 98, 0, 180, 3, 49, 104, 0, 0, 169, 245, 0, 0, 100, 0, 128, 3]",2025-01-09T15:22:22.837441,6,7,98,948,26.673,62.889,100,0,896
20,14.6499042,121.0682066,UPCARE-WEARABLE (F6:66:93:17:E8:A7),"[8, 0, 9, 0, 98, 0, 173, 3, 94, 104, 0, 0, 89, 245, 0, 0, 100, 0, 76, 3]",2025-01-09T15:24:33.746133,8,9,98,941,26.718,62.809,100,0,844
